//500C Cornell Doublier
//C[uF]     d[mm]      l[mm]    Weight [g]	  Iac,max [A]    ESRmax [mohm]  Z_th [C/W]   
100,        34.93,      41.28,    54,          0.9,  	     1224,          18.78
170,        34.93,      53.98,    57,          1.3,  	     722,           15.42
230,        34.93,      66.68,    77,          1.7,  	     546,           13.21
260,        44.45,      53.98,    76,          1.9,  	     498,           11.43
310,        34.93,      79.38,    94,          2,  	         410,           11.63
320,        50.8,       53.98,   153,          2.3,  	     393,           9.67
370,        44.45,     66.68,    108,          2.4,  	     347,           9.83              
470,        50.8,      66.68,    173,          2.9,  	     274,           8.34
610,        34.93,     130.18,   193,          3.3,  	     231,           8.07
840,        50.8,      92.08,    232,          4.4,  	     156,           6.66
1200,       34.93,     142.88,   298,          5.6,  	     110,           5.72
1500,       50.8,      142.88,   369,          6.7,  	     88.9,          4.92
2000,       63.5,      117.48,   488,          8.3,  	     66.3,          4.04
2400,       63.5,      142.88,   607,          9.7,  	     54.7,          3.8
3300,       76.2,      130.18,   850,          11.8,  	     43.1,          3.26
3900,       76.2,      149.23,   931,          13.6,  	     35.5,          2.99
5200,       88.9,      142.88,   1221,         16.6,  	     28,            2.56
6300,       76.2,      219.08,   1227,         19.1,  	     23.1,          2.35
5500,       88.9,      149.23,   1257,         17.4,  	     26,            2.49
//5400,       76.2,      193.68,   1119,         17.1,  	     27.9,      missing thermal resistance value        
4600,       88.9,      130.18,   1148,         15.6,  	     30,            2.71
4000,       88.9,      117.48,   976,          14.2,  	     34.1,          2.88
3700,       76.2,      142.88,   904,          13.1,  	     37.5,          3.07
3400,       88.9,      104.78,   850,          12.6,  	     40.1,          3.09    
2800,       76.2,      117.48,   723,          10.9,  	     48.1,          3.73
2400,       76.2,      104.78,   629,          9.8,  	     55.4,          3.73
2200,       63.5,      130.18,   547,          8.9,  	     61.1,          4.04
2100,       76.2,      92.08,    567,          8.5,  	     67.4,          4.06
1700,       63.5,      104.78,   425,          7.4,  	     78.1,          4.66
1600,       76.2,      79.38,    437,          7.1,  	     86.4,          4.47
1400,       63.5,      92.08,    361,          6.4,  	     95.1,          5.08
1300,       50.8,      130.18,   303,          6.1,  	     100,           5.24
1100,       63.5,      79.38,    295,          5.4,  	     122,           5.61
1100,       50.8,      117.48,   292,          5.5,  	     115,           5.63
1000,       44.45,     130.18,   269,          5.1,  	     125,           6.12
960,        50.8,      104.78,   269,          4.9,  	     136,           6.09
890,        44.45,     117.48,   255,          4.6,  	     143,           6.58
770,        63.5,      66.68,    261,          4.3,  	     171,           6.32
760,        44.45,     104.78,   230,          4,      	     169,           7.13
690,        41.28,     142.88,   230,          3.7,  	     195,           7.52
650,        50.8,      79.38,    193,          3.7,  	     200,           7.38
620,        44.45,     92.08,    193,          3.5,  	     202,           7.82
530,        41.28,     117.48,   145,          2.9,  	     261,           8.71
480,        44.45,     97.38,    145,          2.9,  	     265,           8.68
460,        41.28,     104.78,   125,          2.7,  	     293,           9.48
380,        41.28,     92.08,    108,          2.4,  	     328,           10.43

















