// the values in the table are from core datasheets, 
// E-Core:	 2*b    a/2   c    a/2-d   di   d   ml
//
"E 8.8",	  9,    4.1,  2,    2,    5.2, -1,  1.9
"E 10/5.5/5",    10,    5.5,  4.8,  4.25, 7.9, -1,  2.35
"E 13/7/4",      12.6,  6.5,  3.7,  4.5,  8.9, -1,  3.7
"E 14/8/4",      14.3,  7.8,  4.3,  5.2, 10.5, -1,  4.3
"E 16/6/5",      16,    5.8,  4.7,  3.6, 11.3, -1,  4.7
"E 16/8/5",      16,    8.2,  4.7,  5.7, 11.3, -1,  4.7
"E 19/8/5",      19,    8,    4.8,  5.7, 14.3, -1,  4.8
"E 20/10/6",     20.4, 10.1,  5.9,  7,   14.1, -1,  5.9
"E 21/9/5",      21.1,  8.7,  5,    6,   16,   -1,  5
"E 25/13/7",	 25,   12.8,  7.5,  8.7, 17.5, -1,  7.5
"E 25.4/10/7",	 25.4,  9.8,  6.5,  6.5, 18.8, -1,  6.5
"E 30/15/7",	 30,   15.2,  7.3,  9.7, 19.5, -1,  7.2
"E 32/16/9",	 32,   16.4,  9.5, 11.2, 22.7, -1,  9.5
"E 32/16/11",	 32,   16.4, 11,   11.2, 22.7, -1,  9.5
"E 34/14/9",	 34.6, 14.6, 9.7,   9.5, 25.1, -1,  9.7
"E 36/18/11",	 36,   18,   11.5, 12,   24.5, -1, 10.2
"E 40/16/12",	 40.6, 16.5, 12.5, 10.5, 28.6, -1, 12.5
"E 42/21/15",	 42,   21.2, 15.2, 14.8, 29.5, -1, 12.2
"E 42/21/20",	 42,   21.2, 20,   14.8, 29.5, -1, 12.2
"E 47/20/16",	 46.9, 19.6, 15.6, 12.2, 31.8, -1, 15.6
"E 55/28/21",	 55,   27.8, 21,   18.5, 37.5, -1, 17.2
"E 55/28/25",	 55,   27.8, 25,   18.5, 37.5, -1, 17.2
"E 56/24/19",	 56.1, 23.6, 18.8, 14.6, 38.1, -1, 18.8
"E 65/32/27",	 65,   32.8, 27.4, 22.2, 44.2, -1, 20
"E 70/33/32",	 70.5, 33.2, 32,   21.9, 48,   -1, 22
"E 80/38/20",	 80,   38.5, 20.2, 27.9, 58.9, -1, 20.2
"E 85/44/32" ,   85,   44,   31.5,  28.7, -1,  -1, -1 
"E 110/56/36",   110,   56,   36,    37.2, -1,  -1, -1 
"E 130/64/40",   130,   64,   40,    44,   -1,  -1, -1 
"E 140/68/40",   140,   68,   40,    48,   -1,  -1, -1 
"E 160/80/40",   160,   80,   40,    60,   -1,  -1, -1 
"E 200/76/30",   196,   76,   30,    48,   -1,  -1, -1 
"E 320/160/40",  320,  160,   40,   120,   -1,  -1, -1 
//--------------------------------------------------------
































